nesterukia@nesterukia-VirtualBox:~$ ps -eF
UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
                                               │            ├─{gjs}(24901)
                                               │            ├─{gjs}(24902)
                                               │            ├─{gjs}(24903)
                                               │            └─{gjs}(24913)
                                               ├─telegram-deskto(22232)─┬─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        ├─{tel+
                                               │                        └─{tel+
                                               ├─{gnome-shell}(1622)
                                               ├─{gnome-shell}(1631)
                                               ├─{gnome-shell}(1637)
                                               ├─{gnome-shell}(1639)
                                               ├─{gnome-shell}(1644)
                                               ├─{gnome-shell}(1655)
                                               ├─{gnome-shell}(1656)
                                               ├─{gnome-shell}(3807)
                                               └─{gnome-shell}(3931)
nesterukia@nesterukia-VirtualBox:~$ pstree -sp 22232
systemd(1)───systemd(1438)───gnome-shell(1606)───telegram-deskto(22232)─┬─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        ├─{tel+
                                                                        └─{tel+

